2025-03-17 00:46:24,344 [INFO] {'target': 0.9816966879721093, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183184'}
2025-03-17 00:46:24,524 [INFO] {'target': 0.978286045165026, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183184'}
2025-03-17 00:46:25,242 [INFO] {'target': 0.9611719527805433, 'params': {'gamma': 0.001, 'nu': 0.3, 'tol': 0.001}, 'datetime': '2025-03-17 00:46:1742183185'}
2025-03-17 00:46:25,968 [INFO] {'target': 0.9639138496648124, 'params': {'gamma': 0.001, 'nu': 0.3, 'tol': 0.001}, 'datetime': '2025-03-17 00:46:1742183185'}
2025-03-17 00:46:26,615 [INFO] {'target': 0.9670864338866628, 'params': {'gamma': 0.001, 'nu': 0.3, 'tol': 0.001}, 'datetime': '2025-03-17 00:46:1742183186'}
2025-03-17 00:46:27,219 [INFO] {'target': 0.9640513552068474, 'params': {'gamma': 0.001, 'nu': 0.3, 'tol': 0.001}, 'datetime': '2025-03-17 00:46:1742183187'}
2025-03-17 00:46:27,730 [INFO] {'target': 0.9663949663949664, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183187'}
2025-03-17 00:46:28,191 [INFO] {'target': 0.9688888888888889, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183188'}
2025-03-17 00:46:28,578 [INFO] {'target': 0.9732142857142857, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183188'}
2025-03-17 00:46:28,972 [INFO] {'target': 0.9693057946069994, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183188'}
2025-03-17 00:46:29,552 [INFO] {'target': 0.9713957165444875, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183189'}
2025-03-17 00:46:30,070 [INFO] {'target': 0.9726540011514104, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183190'}
2025-03-17 00:46:30,547 [INFO] {'target': 0.9774370841770321, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183190'}
2025-03-17 00:46:31,103 [INFO] {'target': 0.974196338474845, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183191'}
2025-03-17 00:46:31,338 [INFO] {'target': 0.9713957165444875, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183191'}
2025-03-17 00:46:31,577 [INFO] {'target': 0.9750396768143125, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183191'}
2025-03-17 00:46:31,860 [INFO] {'target': 0.9784276820616765, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183191'}
2025-03-17 00:46:32,124 [INFO] {'target': 0.9751803751803751, 'params': {'gamma': 0.001, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183192'}
2025-03-17 00:46:32,416 [INFO] {'target': 0.9722342109049058, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:46:1742183192'}
2025-03-17 00:46:32,719 [INFO] {'target': 0.9746178252091146, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:46:1742183192'}
2025-03-17 00:46:33,000 [INFO] {'target': 0.9781444492690693, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:46:1742183193'}
2025-03-17 00:46:33,259 [INFO] {'target': 0.974196338474845, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:46:1742183193'}
2025-03-17 00:46:35,075 [INFO] {'target': 0.9519650655021834, 'params': {'gamma': 1, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183195'}
2025-03-17 00:46:36,846 [INFO] {'target': 0.9523675310033822, 'params': {'gamma': 1, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183196'}
2025-03-17 00:46:38,620 [INFO] {'target': 0.9535769719204177, 'params': {'gamma': 1, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183198'}
2025-03-17 00:46:40,542 [INFO] {'target': 0.9522333380301535, 'params': {'gamma': 1, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183200'}
2025-03-17 00:46:41,175 [INFO] {'target': 0.9619928825622776, 'params': {'gamma': 0.01, 'nu': 0.3, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183201'}
2025-03-17 00:46:41,792 [INFO] {'target': 0.9644641073212502, 'params': {'gamma': 0.01, 'nu': 0.3, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183201'}
2025-03-17 00:46:42,348 [INFO] {'target': 0.9683335721450065, 'params': {'gamma': 0.01, 'nu': 0.3, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183202'}
