INFO:root:{'target': np.float64(0.6587765139870888), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.6256934306569343), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.661726107765941), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.686199167467179), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7515342802034017), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6815073938622993), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7297803507577048), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6279450261780105), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.5919185687847008), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.620834681332902), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.5905669073590414), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.6093849080532657), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.5843721495895409), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6266710140202152), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6194005800837898), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.5708345708345708), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.6189019481564966), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.5667944559127102), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.5880373259905155), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.6393878908848969), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.6010946051602815), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.5759664369193886), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.5783930183569064), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.6053917704556203), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6673618352450469), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6245933636955108), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6505330851243866), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7377634458136588), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.6916432735910171), 'params': {'gamma': 0.01, 'nu': 0.5}}
