INFO:root:{'target': 0.9228098290598291, 'params': {'gamma': 0.5, 'nu': 0.1}}
INFO:root:{'target': 0.9240438619951858, 'params': {'gamma': 0.5, 'nu': 0.2}}
INFO:root:{'target': 0.9272678475577026, 'params': {'gamma': 0.5, 'nu': 0.2}}
INFO:root:{'target': 0.9247858672376874, 'params': {'gamma': 0.5, 'nu': 0.2}}
INFO:root:{'target': 0.9318948078219824, 'params': {'gamma': 0.5, 'nu': 0.2}}
INFO:root:{'target': 0.9202290584631775, 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': 0.9213333333333333, 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': 0.9205968558486544, 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': 0.9220709901254337, 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': 0.9094498552250593, 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': 0.9110085695451549, 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': 0.9107684196652168, 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': 0.9135378106821788, 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': 0.9128137384412153, 'params': {'gamma': 1, 'nu': 0.01}}
INFO:root:{'target': 0.9171754711972392, 'params': {'gamma': 1, 'nu': 0.01}}
INFO:root:{'target': 0.9205968558486544, 'params': {'gamma': 1, 'nu': 0.01}}
INFO:root:{'target': 0.9219479653102068, 'params': {'gamma': 1, 'nu': 0.01}}
INFO:root:{'target': 0.915474297827239, 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': 0.9172972255409532, 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': 0.9158383035122598, 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': 0.916445623342175, 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': 0.9191274275073158, 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': 0.9190051868599548, 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': 0.9186386599308695, 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': 0.9239203102018987, 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': 0.9096893101632438, 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': 0.9093301750230294, 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': 0.9169320594479831, 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': 0.9172972255409532, 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': 0.9168104020167175, 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': 0.9190051868599548, 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': 0.9143840148206961, 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': 0.9207195203197868, 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': 0.9083738661758907, 'params': {'gamma': 1, 'nu': 0.5}}
INFO:root:{'target': 0.9137794234329543, 'params': {'gamma': 1, 'nu': 0.5}}
INFO:root:{'target': 0.9113690319176998, 'params': {'gamma': 1, 'nu': 0.5}}
INFO:root:{'target': 0.9087322461862177, 'params': {'gamma': 1, 'nu': 0.5}}
INFO:root:{'target': 0.9424976322554458, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9441583084846842, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9454397394136808, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9449267498643517, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9379291773259728, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9378029079159935, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.940080971659919, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9390671339983823, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9305370024044883, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9306613226452906, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9332797427652733, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9336550060313631, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9157355067700802, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9153745072273325, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9183915622940013, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9202113606340819, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9020979020979021, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.9013975155279503, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.9049103663289166, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.9047928302376932, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.8746860873932697, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.8772194937665282, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.8783255579372085, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.8765571913929785, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.935535858178888, 'params': {'gamma': 0.01, 'nu': 0.01}}
INFO:root:{'target': 0.9351590817559404, 'params': {'gamma': 0.01, 'nu': 0.01}}
INFO:root:{'target': 0.937046004842615, 'params': {'gamma': 0.01, 'nu': 0.01}}
INFO:root:{'target': 0.936668011294877, 'params': {'gamma': 0.01, 'nu': 0.01}}
INFO:root:{'target': 0.9356615177971793, 'params': {'gamma': 0.01, 'nu': 0.05}}
INFO:root:{'target': 0.9369199731002017, 'params': {'gamma': 0.01, 'nu': 0.05}}
INFO:root:{'target': 0.9372981700753499, 'params': {'gamma': 0.01, 'nu': 0.05}}
INFO:root:{'target': 0.9375504710632571, 'params': {'gamma': 0.01, 'nu': 0.05}}
INFO:root:{'target': 0.9295436349079264, 'params': {'gamma': 0.01, 'nu': 0.1}}
INFO:root:{'target': 0.9301642408866337, 'params': {'gamma': 0.01, 'nu': 0.1}}
INFO:root:{'target': 0.9309100628090338, 'params': {'gamma': 0.01, 'nu': 0.1}}
INFO:root:{'target': 0.9314079422382672, 'params': {'gamma': 0.01, 'nu': 0.1}}
INFO:root:{'target': 0.9154948087790774, 'params': {'gamma': 0.01, 'nu': 0.2}}
INFO:root:{'target': 0.9157355067700802, 'params': {'gamma': 0.01, 'nu': 0.2}}
INFO:root:{'target': 0.9182704982863169, 'params': {'gamma': 0.01, 'nu': 0.2}}
INFO:root:{'target': 0.9183915622940013, 'params': {'gamma': 0.01, 'nu': 0.2}}
INFO:root:{'target': 0.9029163966299417, 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': 0.9029163966299417, 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': 0.9071493684073447, 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': 0.905851755526658, 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': 0.8751256281407035, 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': 0.8752355823595929, 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': 0.8787687649804465, 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': 0.8775510204081632, 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': 0.9192399049881235, 'params': {'gamma': 0.1, 'nu': 0.01}}
INFO:root:{'target': 0.9214285714285714, 'params': {'gamma': 0.1, 'nu': 0.01}}
INFO:root:{'target': 0.9182704982863169, 'params': {'gamma': 0.1, 'nu': 0.01}}
INFO:root:{'target': 0.9198468242440249, 'params': {'gamma': 0.1, 'nu': 0.01}}
INFO:root:{'target': 0.9175447839831401, 'params': {'gamma': 0.1, 'nu': 0.05}}
INFO:root:{'target': 0.9181494661921709, 'params': {'gamma': 0.1, 'nu': 0.05}}
